 11 0.997317         18.010565        174.58           q1.txt           1                H216O           
 12 0.002            20.014810999     176.05           q2.txt           1                H218O           
 13 0.000371884      19.01478         1052.14          q3.txt           6                H217O           
 14 0.000310693      19.01674         864.74           q4.txt           6                HD16O           
 15 6.23003e-07      21.020985        875.57           q5.txt           6                HD18O           
 16 1.15853e-07      20.020955999     5226.79          q6.txt           36               HD17O           
 17 2.4197e-08       20.022915        1027.8           q129.txt         1                D216O           
 21 0.984204         43.98983         286.09           q7.txt           1                12C16O2         
 22 0.011057         44.993185        576.64           q8.txt           2                13C16O2         
 23 0.003947         45.994076        607.81           q9.txt           1                16O12C18O       
 24 0.000733989      44.994045        3542.61          q10.txt          6                16O12C17O       
 25 4.43446e-05      46.997431        1225.46          q11.txt          2                16O13C18O       
 26 8.24623e-06      45.9974          7141.32          q12.txt          12               16O13C17O       
 27 3.95734e-06      47.998321999     323.42           q13.txt          1                12C18O2         
 28 1.4718e-06       46.998290999     3766.58          q14.txt          6                17O12C18O       
 29 1.36847e-07      45.998262        10971.57         q121.txt         1                12C17O2         
 20 4.446e-08        49.001675        652.24           q15.txt          2                13C18O2         
 2A 1.65354e-08      48.001646        7595.04          q120.txt         12               18O13C17O       
 2B 1.5375e-09       47.001618237     22120.47         q122.txt         2                13C17O2         
 31 0.992901         47.984745000     3483.71          q16.txt          1                16O3            
 32 0.003982         49.988991        7465.68          q17.txt          1                16O16O18O       
 33 0.001991         49.988991        3647.08          q18.txt          1                16O18O16O       
 34 0.000740475      48.98896         43330.85         q19.txt          6                16O16O17O       
 35 0.000370237      48.98896         21404.96         q20.txt          6                16O17O16O       
 41 0.990333         44.001062        4984.9           q21.txt          9                14N216O         
 42 0.003641         44.998096000     3362.01          q22.txt          6                14N15N16O       
 43 0.003641         44.998096000     3458.58          q23.txt          6                15N14N16O       
 44 0.001986         46.005308        5314.74          q24.txt          9                14N218O         
 45 0.00036928       45.005278000     30971.79         q25.txt          54               14N217O         
 51 0.986544         27.994915000     107.42           q26.txt          1                12C16O          
 52 0.011084         28.99827         224.69           q27.txt          2                13C16O          
 53 0.001978         29.999160999     112.77           q28.txt          1                12C18O          
 54 0.000367867      28.999129999     661.17           q29.txt          6                12C17O          
 55 2.2225e-05       31.002515999     236.44           q30.txt          2                13C18O          
 56 4.13292e-06      30.002484999     1384.66          q31.txt          12               13C17O          
 61 0.988274         16.0313          590.48           q32.txt          1                12CH4           
 62 0.011103         17.034654999     1180.82          q33.txt          2                13CH4           
